borough,actual,forecast,naive,centre,samp_sd,origin_wave,target_wave,covid,lo_samp,hi_samp,cov_samp,lo_cal,hi_cal,cov_cal
E09000010,57.052757263183594,57.44820194232536,57.966263,57.652264865399516,1.2305829358057787,7,8,0,55.62795593599901,59.67657379480002,True,51.64400888445817,63.660520846340866,True
E09000011,59.336463928222656,63.1241093015087,59.9182,62.983704034546975,1.395885113503808,7,8,0,60.68747302283321,65.27993504626073,False,56.87846119334706,69.0889468757469,True
E09000012,66.31151580810547,68.57993188686659,69.9729,68.52793455368551,1.4125624483170713,7,8,0,66.20426932620393,70.8515997811671,True,62.412320653162205,74.64354845420881,True
E09000013,72.48780059814453,72.82086835179635,72.97427,72.91823038348026,1.0187249232773286,7,8,0,71.24242788468906,74.59403288227146,True,67.0182619678172,78.81819879914333,True
E09000014,66.50465393066406,65.86542779481613,66.13387,65.64592788203599,1.220375176591304,7,8,0,63.6384107165433,67.65344504752869,True,59.643308582045805,71.64854718202618,True
E09000015,57.803977966308594,57.854873399596606,59.748314,57.63634287287039,1.252453475285455,7,8,0,55.57605690602581,59.69662883971496,True,51.615870170827506,63.65681557491327,True
E09000016,60.135414123535156,56.16380187746761,55.303925,56.396600492504035,1.392149819831214,7,8,0,54.106514038881684,58.686686946126386,False,50.293666013425025,62.499534971583046,True
E09000017,56.46079635620117,57.855188248912505,60.85065,57.619765376297224,1.2059342268683402,7,8,0,55.636003573098805,59.60352717949564,True,51.62504902081418,63.614481731780266,True
E09000018,55.70671463012695,57.221569340930316,59.38464,57.15627637234779,1.0608352623458603,7,8,0,55.41120236578885,58.90135037890673,True,51.23625976939518,63.0762929753004,True
E09000019,73.81552124023438,70.83210110665549,70.36968,71.23416430578159,0.9979864391688499,7,8,0,69.59247661334884,72.87585199821434,False,65.34379489713224,77.12453371443094,True
E09000020,67.40534973144531,67.03165587732327,62.362503,66.80253168540054,1.5968253351230066,7,8,0,64.1757540091232,69.42930936167788,True,60.56544308161625,73.03962028918482,True
E09000021,66.84416198730469,66.94084151271763,70.95012,66.58427046509789,1.2076359842410362,7,8,0,64.59770927102139,68.57083165917439,True,60.58862715777235,72.57991377242342,True
E09000022,69.60009002685547,70.11749082580671,69.00801,69.95320288429102,1.4043243940379824,7,8,0,67.64308925609853,72.2633165124835,True,63.842725139791206,76.06368062879082,True
E09000023,68.00715637207031,66.29545270455995,69.62887,66.3667478424976,1.3755591233209998,7,8,0,64.10395308463455,68.62954260036065,True,60.274001876426205,72.45949380856901,True
E09000024,64.42334747314453,65.89309694270776,63.681293,65.95359983227395,1.6472502681611596,7,8,0,63.243873141148846,68.66332652339906,True,59.681125676770186,72.22607398777771,True
