variable,in_waves,n_waves,first_wave,last_wave,label_y_latest,value_scheme_stable,schemes_seen
ACTYRA_ICESKATING_I02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Ice skating,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_INFORMAL_C15,6;7;8,3,6,8,Done 1-3 months ago: Informal Activity and Active Play,YES,"[w6,7,8] 0=No|1=Yes"
ACTYRA_INTSESSION_E05,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Interval sessions,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_JUDO_J04,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Judo,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_JUJITSU_S03,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Ju-Jitsu,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_KARATE_S02,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Karate,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_KARTING_U26,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Karting or go-karting,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_KITESURF_R08,8,1,8,8,Done 1-3 months ago: Kite surfing,YES,[w8] 0=No|1=Yes
ACTYRA_LACROSSE_F14,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Lacrosse,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_LEISURE_C08,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Leisure activities and games,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_LIFESAVING_H13,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Life-saving,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_MARTIALCHINESE_S05,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Chinese martial arts,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_MARTIALOTHER_S06,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Other martial arts,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_MARTIAL_J07,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Martial Arts,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_MODPENT_L06,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Modern Pentathlon,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_MOTORCARRACE_U28,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Motorcar racing,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
ACTYRA_MOTORCYCRACE_U27,1;2;3;4;5;6;7;8,8,1,8,Done 1-3 months ago: Motorcycle racing,YES,"[w1,2,3,4,5,6,7,8] 0=No|1=Yes"
